Date,Weight
01/01/2022,
02/01/2022,
03/01/2022,69.0
04/01/2022,69.0
05/01/2022,67.9
06/01/2022,67.5
07/01/2022,67.5
08/01/2022,67.4
09/01/2022,67.3
10/01/2022,66.9
11/01/2022,67.0
12/01/2022,67.1
13/01/2022,66.9
14/01/2022,67.1
15/01/2022,67.0
16/01/2022,66.9
17/01/2022,66.5
18/01/2022,66.4
19/01/2022,66.9
20/01/2022,67.0
21/01/2022,66.9
22/01/2022,66.6
23/01/2022,66.6
24/01/2022,66.4
25/01/2022,66.4
26/01/2022,66.4
27/01/2022,66.4
28/01/2022,66.3
29/01/2022,66.2
30/01/2022,65.9
31/01/2022,65.9
01/02/2022,66.0
02/02/2022,66.3
03/02/2022,66.2
04/02/2022,66.2
05/02/2022,66.1
06/02/2022,66.2
07/02/2022,
08/02/2022,66.8
09/02/2022,66.2
10/02/2022,66.5
11/02/2022,66.5
12/02/2022,66.9
13/02/2022,66.5
14/02/2022,66.3
15/02/2022,66.2
16/02/2022,65.7
17/02/2022,66.1
18/02/2022,64.7
19/02/2022,64.9
20/02/2022,65.1
21/02/2022,65.0
22/02/2022,65.2
23/02/2022,65.1
24/02/2022,
25/02/2022,
26/02/2022,65.2
27/02/2022,65.5
28/02/2022,65.2
01/03/2022,64.8
02/03/2022,65.5
03/03/2022,65.8
04/03/2022,65.8
05/03/2022,65.6
06/03/2022,65.6
07/03/2022,65.3
08/03/2022,65.6
09/03/2022,65.7
10/03/2022,66.1
11/03/2022,65.8
12/03/2022,65.7
13/03/2022,65.6
14/03/2022,65.4
15/03/2022,65.6
16/03/2022,65.6
17/03/2022,66.1
18/03/2022,66.1
19/03/2022,65.6
20/03/2022,65.7
21/03/2022,65.6
22/03/2022,65.2
23/03/2022,65.1
24/03/2022,65.0
25/03/2022,65.2
26/03/2022,65.5
27/03/2022,65.4
28/03/2022,65.2
29/03/2022,65.6
30/03/2022,65.4
31/03/2022,65.4
01/04/2022,65.5
02/04/2022,65.1
03/04/2022,
04/04/2022,
05/04/2022,
06/04/2022,
07/04/2022,
08/04/2022,
09/04/2022,
10/04/2022,64.9
11/04/2022,65.0
12/04/2022,65.4
13/04/2022,65.2
14/04/2022,65.3
15/04/2022,65.1
16/04/2022,64.7
17/04/2022,64.4
18/04/2022,64.7
19/04/2022,64.5
20/04/2022,64.2
21/04/2022,64.0
22/04/2022,64.3
23/04/2022,64.5
24/04/2022,64.9
25/04/2022,64.3
26/04/2022,64.5
27/04/2022,64.7
28/04/2022,64.4
29/04/2022,64.5
30/04/2022,63.9
01/05/2022,63.8
02/05/2022,63.8
03/05/2022,63.4
04/05/2022,63.8
05/05/2022,63.6
06/05/2022,63.6
07/05/2022,64.2
08/05/2022,63.8
09/05/2022,63.9
10/05/2022,63.9
11/05/2022,63.8
12/05/2022,64.1
13/05/2022,63.8
14/05/2022,63.7
15/05/2022,63.4
16/05/2022,63.4
17/05/2022,63.2
18/05/2022,63.2
19/05/2022,63.6
20/05/2022,63.7
21/05/2022,63.6
22/05/2022,64.5
23/05/2022,63.8
24/05/2022,
25/05/2022,
26/05/2022,
27/05/2022,
28/05/2022,
29/05/2022,
30/05/2022,
31/05/2022,
01/06/2022,
02/06/2022,62.9
03/06/2022,63.1
04/06/2022,63.3
05/06/2022,63.1
06/06/2022,63.8
07/06/2022,63.4
08/06/2022,62.9
09/06/2022,62.6
10/06/2022,62.7
11/06/2022,62.7
12/06/2022,62.9
13/06/2022,62.6
14/06/2022,62.6
15/06/2022,63.0
16/06/2022,
17/06/2022,63.4
18/06/2022,63.3
19/06/2022,63.5
20/06/2022,63.6
21/06/2022,63.4
22/06/2022,63.2
23/06/2022,62.9
24/06/2022,
25/06/2022,
26/06/2022,
27/06/2022,62.6
28/06/2022,62.6
29/06/2022,62.2
30/06/2022,62.1
01/07/2022,62.8
02/07/2022,
03/07/2022,
04/07/2022,
05/07/2022,
06/07/2022,
07/07/2022,
08/07/2022,61.5
09/07/2022,61.5
10/07/2022,61.8
11/07/2022,61.9
12/07/2022,62.4
13/07/2022,62.4
14/07/2022,62.5
15/07/2022,62.2
16/07/2022,62.0
17/07/2022,62.3
18/07/2022,62.3
19/07/2022,
20/07/2022,
21/07/2022,
22/07/2022,
23/07/2022,
24/07/2022,
25/07/2022,
26/07/2022,
27/07/2022,
28/07/2022,
29/07/2022,
30/07/2022,
31/07/2022,
01/08/2022,
02/08/2022,
03/08/2022,
04/08/2022,
05/08/2022,
06/08/2022,
07/08/2022,
08/08/2022,
09/08/2022,
10/08/2022,
11/08/2022,
12/08/2022,
13/08/2022,
14/08/2022,
15/08/2022,
16/08/2022,
17/08/2022,
18/08/2022,61.9
19/08/2022,61.4
20/08/2022,60.8
21/08/2022,60.8
22/08/2022,60.8
23/08/2022,61.4
24/08/2022,61.5
25/08/2022,61.9
26/08/2022,61.7
27/08/2022,61.8
28/08/2022,61.6
29/08/2022,61.2
30/08/2022,61.2
31/08/2022,61.6
01/09/2022,61.1
02/09/2022,61.0
03/09/2022,60.7
04/09/2022,61.0
05/09/2022,60.6
06/09/2022,60.9
07/09/2022,
08/09/2022,
09/09/2022,61.0
10/09/2022,
11/09/2022,
12/09/2022,60.7
13/09/2022,60.6
14/09/2022,60.8
15/09/2022,60.7
16/09/2022,60.5
17/09/2022,60.3
18/09/2022,
19/09/2022,60.8
20/09/2022,60.6
21/09/2022,60.7
22/09/2022,61.0
23/09/2022,61.2
24/09/2022,61.6
25/09/2022,60.6
26/09/2022,60.7
27/09/2022,60.3
28/09/2022,60.2
29/09/2022,60.2
30/09/2022,60.6
01/10/2022,60.3
02/10/2022,60.5
03/10/2022,60.6
04/10/2022,60.5
05/10/2022,60.3
06/10/2022,60.6
07/10/2022,60.7
08/10/2022,60.4
09/10/2022,61.1
10/10/2022,60.7
11/10/2022,60.4
12/10/2022,60.5
13/10/2022,60.3
14/10/2022,60.2
15/10/2022,60.1
16/10/2022,60.4
17/10/2022,60.6
18/10/2022,60.4
19/10/2022,60.8
20/10/2022,60.5
21/10/2022,60.3
22/10/2022,60.5
23/10/2022,60.2
24/10/2022,59.9
25/10/2022,60.0
26/10/2022,59.7
27/10/2022,59.9
28/10/2022,59.9
29/10/2022,59.7
30/10/2022,59.5
31/10/2022,59.8
01/11/2022,59.9
02/11/2022,60.0
03/11/2022,59.9
04/11/2022,60.1
05/11/2022,60.0
06/11/2022,59.9
07/11/2022,59.8
08/11/2022,59.7
09/11/2022,59.9
10/11/2022,60.0
11/11/2022,60.1
12/11/2022,59.9
13/11/2022,59.8
14/11/2022,59.6
15/11/2022,59.6
16/11/2022,59.9
17/11/2022,60.4
18/11/2022,59.9
19/11/2022,60.1
20/11/2022,60.2
21/11/2022,
22/11/2022,
23/11/2022,
24/11/2022,
25/11/2022,
26/11/2022,
27/11/2022,
28/11/2022,
29/11/2022,
30/11/2022,
01/12/2022,
02/12/2022,
03/12/2022,
04/12/2022,
05/12/2022,
06/12/2022,
07/12/2022,
08/12/2022,
09/12/2022,
10/12/2022,
11/12/2022,
12/12/2022,
13/12/2022,
14/12/2022,
15/12/2022,
16/12/2022,
17/12/2022,
18/12/2022,
19/12/2022,
20/12/2022,
21/12/2022,
22/12/2022,
23/12/2022,
24/12/2022,
25/12/2022,
26/12/2022,
27/12/2022,
28/12/2022,
29/12/2022,
30/12/2022,
31/12/2022,